,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,0.015,0.017,0.015,0.017,0.017,8366.0,8366.0,0.002,13.333,0.01633,"February 16, 21",0.13333
0,2021-02-15,0.018,0.0185,0.015,0.017,0.017,87000.0,87000.0,-0.001,-5.556,0.01683,"February 15, 21",-0.05556
0,2021-02-12,0.016,0.018,0.0145,0.018,0.018,86482.0,86482.0,0.002,12.5,0.01683,"February 12, 21",0.125
0,2021-02-11,0.0175,0.0175,0.016,0.016,0.016,32150.0,32150.0,-0.0015,-8.571,0.0165,"February 11, 21",-0.08571
0,2021-02-10,0.0155,0.016,0.0145,0.0145,0.0145,49500.0,49500.0,-0.001,-6.452,0.015,"February 10, 21",-0.06452
0,2021-02-09,0.0155,0.0155,0.0155,0.0155,0.0155,4745.0,4745.0,0.0,0.0,0.0155,"February 09, 21",0.0
0,2021-02-08,0.0165,0.0165,0.0145,0.0145,0.0145,28500.0,28500.0,-0.002,-12.121,0.01517,"February 08, 21",-0.12121
0,2021-02-05,0.0165,0.0165,0.0165,0.0165,0.0165,1101.0,1101.0,0.0,0.0,0.0165,"February 05, 21",0.0
0,2021-02-04,0.0165,0.0165,0.0165,0.0165,0.0165,16000.0,16000.0,0.0,0.0,0.0165,"February 04, 21",0.0
0,2021-02-03,0.014,0.017,0.014,0.0165,0.0165,38000.0,38000.0,0.0025,17.857,0.01583,"February 03, 21",0.17857
0,2021-02-02,0.0135,0.014,0.013,0.014,0.014,12471.0,12471.0,0.0005,3.704,0.01367,"February 02, 21",0.03704
0,2021-02-01,0.015,0.0175,0.0135,0.0135,0.0135,24388.0,24388.0,-0.0015,-10.0,0.01483,"February 01, 21",-0.1
0,2021-01-29,0.014,0.014,0.014,0.014,0.014,7202.0,7202.0,0.0,0.0,0.014,"January 29, 21",0.0
0,2021-01-28,0.0175,0.0175,0.0175,0.0175,0.0175,20000.0,20000.0,0.0,0.0,0.0175,"January 28, 21",0.0
