,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,19.01,19.040001,18.440001,18.75,18.75,241954.0,241954.0,-0.26,-1.368,18.74333,"February 16, 21",-0.01368
0,2021-02-12,18.98,19.08,18.67,18.889999,18.889999,134700.0,134700.0,-0.09,-0.474,18.88,"February 12, 21",-0.00474
0,2021-02-11,19.41,19.67,18.879999,18.940001,18.940001,297600.0,297600.0,-0.47,-2.421,19.16333,"February 11, 21",-0.02421
0,2021-02-10,19.33,19.549999,18.9,19.34,19.34,284100.0,284100.0,0.01,0.052,19.26333,"February 10, 21",0.00052
0,2021-02-09,19.07,19.280001,18.719999,19.15,19.15,323500.0,323500.0,0.08,0.42,19.05,"February 09, 21",0.0042
0,2021-02-08,18.690001,19.35,18.67,19.049999,19.049999,358800.0,358800.0,0.36,1.926,19.02333,"February 08, 21",0.01926
0,2021-02-05,19.34,19.370001,18.440001,18.639999,18.639999,222700.0,222700.0,-0.7,-3.619,18.81667,"February 05, 21",-0.03619
0,2021-02-04,18.549999,19.15,18.32,19.040001,19.040001,394200.0,394200.0,0.49,2.642,18.83667,"February 04, 21",0.02642
0,2021-02-03,18.309999,18.540001,18.01,18.52,18.52,259000.0,259000.0,0.21,1.147,18.35667,"February 03, 21",0.01147
0,2021-02-02,18.1,18.34,17.59,18.17,18.17,366600.0,366600.0,0.07,0.387,18.03333,"February 02, 21",0.00387
0,2021-02-01,18.74,18.74,17.76,18.040001,18.040001,503700.0,503700.0,-0.7,-3.735,18.18,"February 01, 21",-0.03735
0,2021-01-29,18.68,19.049999,18.459999,18.52,18.52,339200.0,339200.0,-0.16,-0.857,18.67667,"January 29, 21",-0.00857
0,2021-01-28,19.049999,19.469999,18.370001,18.49,18.49,438900.0,438900.0,-0.56,-2.94,18.77667,"January 28, 21",-0.0294
0,2021-01-27,19.02,20.129999,18.92,19.139999,19.139999,530800.0,530800.0,0.12,0.631,19.39667,"January 27, 21",0.00631
0,2021-01-26,19.030001,19.74,18.9,19.59,19.59,461400.0,461400.0,0.56,2.943,19.41,"January 26, 21",0.02943
0,2021-01-25,18.190001,19.24,18.08,18.67,18.67,506000.0,506000.0,0.48,2.639,18.66333,"January 25, 21",0.02639
0,2021-01-22,17.73,18.15,17.51,18.1,18.1,260200.0,260200.0,0.37,2.087,17.92,"January 22, 21",0.02087
0,2021-01-21,17.73,17.98,17.6,17.879999,17.879999,269500.0,269500.0,0.15,0.846,17.82,"January 21, 21",0.00846
0,2021-01-20,17.709999,17.99,17.52,17.610001,17.610001,400900.0,400900.0,-0.1,-0.565,17.70667,"January 20, 21",-0.00565
0,2021-01-19,18.23,18.379999,17.51,17.65,17.65,504100.0,504100.0,-0.58,-3.182,17.84667,"January 19, 21",-0.03182
0,2021-01-15,18.139999,18.34,17.870001,17.99,17.99,372100.0,372100.0,-0.15,-0.827,18.06667,"January 15, 21",-0.00827
0,2021-01-14,17.799999,18.440001,17.690001,18.200001,18.200001,337500.0,337500.0,0.4,2.247,18.11,"January 14, 21",0.02247
0,2021-01-13,17.17,17.889999,17.129999,17.84,17.84,480200.0,480200.0,0.67,3.902,17.62,"January 13, 21",0.03902
0,2021-01-12,17.219999,17.469999,17.02,17.27,17.27,405400.0,405400.0,0.05,0.29,17.25333,"January 12, 21",0.0029
0,2021-01-11,17.16,17.52,17.049999,17.07,17.07,326100.0,326100.0,-0.09,-0.524,17.21333,"January 11, 21",-0.00524
0,2021-01-08,17.84,18.07,16.75,17.200001,17.200001,607500.0,607500.0,-0.64,-3.587,17.34,"January 08, 21",-0.03587
0,2021-01-07,18.6,18.6,17.450001,17.940001,17.940001,542300.0,542300.0,-0.66,-3.548,17.99667,"January 07, 21",-0.03548
0,2021-01-06,17.93,18.77,17.93,18.66,18.66,504000.0,504000.0,0.73,4.071,18.45333,"January 06, 21",0.04071
0,2021-01-05,17.92,18.110001,17.629999,17.82,17.82,354400.0,354400.0,-0.1,-0.558,17.85333,"January 05, 21",-0.00558
0,2021-01-04,17.5,18.040001,17.450001,18.02,18.02,351100.0,351100.0,0.52,2.971,17.83667,"January 04, 21",0.02971
0,2020-12-31,17.209999,17.469999,17.049999,17.41,17.41,267400.0,267400.0,0.2,1.162,17.31,"December 31, 20",0.01162
0,2020-12-30,17.26,17.389999,17.120001,17.209999,17.209999,216100.0,216100.0,-0.05,-0.29,17.24,"December 30, 20",-0.0029
0,2020-12-29,17.58,17.639999,17.030001,17.15,17.15,459300.0,459300.0,-0.43,-2.446,17.27333,"December 29, 20",-0.02446
0,2020-12-28,17.379999,17.68,17.26,17.610001,17.610001,422200.0,422200.0,0.23,1.323,17.51667,"December 28, 20",0.01323
0,2020-12-24,17.25,17.32,16.870001,17.26,17.26,200000.0,200000.0,0.01,0.058,17.15,"December 24, 20",0.00058
0,2020-12-23,16.879999,17.33,16.77,17.139999,17.139999,304000.0,304000.0,0.26,1.54,17.08,"December 23, 20",0.0154
0,2020-12-22,17.1,17.27,16.709999,16.879999,16.879999,492000.0,492000.0,-0.22,-1.287,16.95333,"December 22, 20",-0.01287
0,2020-12-21,17.25,17.6,16.790001,17.09,17.09,499900.0,499900.0,-0.16,-0.928,17.16,"December 21, 20",-0.00928
