,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,54.09,55.130001,52.369999,54.939999,54.939999,279859.0,279859.0,0.85,1.571,54.14667,"February 16, 21",0.01571
0,2021-02-12,57.290001,58.564999,54.939999,55.369999,55.369999,435400.0,435400.0,-1.92,-3.351,56.29167,"February 12, 21",-0.03351
0,2021-02-11,59.5,63.43,55.244999,57.060001,57.060001,1736100.0,1736100.0,-2.44,-4.101,58.57833,"February 11, 21",-0.04101
0,2021-02-10,52.23,54.360001,49.07,49.900002,49.900002,556000.0,556000.0,-2.33,-4.461,51.11,"February 10, 21",-0.04461
0,2021-02-09,50.990002,52.66,50.415001,51.240002,51.240002,481400.0,481400.0,0.25,0.49,51.43833,"February 09, 21",0.0049
0,2021-02-08,49.049999,50.32,48.990002,50.27,50.27,234400.0,234400.0,1.22,2.487,49.86,"February 08, 21",0.02487
0,2021-02-05,48.0,49.150002,48.0,48.689999,48.689999,110900.0,110900.0,0.69,1.437,48.61333,"February 05, 21",0.01437
0,2021-02-04,49.990002,49.990002,47.07,47.779999,47.779999,193400.0,193400.0,-2.21,-4.421,48.28,"February 04, 21",-0.04421
0,2021-02-03,48.700001,50.830002,48.418999,49.66,49.66,436900.0,436900.0,0.96,1.971,49.63633,"February 03, 21",0.01971
0,2021-02-02,45.25,49.504002,44.990002,49.23,49.23,799300.0,799300.0,3.98,8.796,47.908,"February 02, 21",0.08796
0,2021-02-01,44.310001,45.18,43.810001,44.450001,44.450001,250300.0,250300.0,0.14,0.316,44.48,"February 01, 21",0.00316
0,2021-01-29,43.77,45.32,42.669998,43.740002,43.740002,533900.0,533900.0,-0.03,-0.069,43.91,"January 29, 21",-0.00069
0,2021-01-28,43.040001,44.290001,42.66,43.900002,43.900002,272600.0,272600.0,0.86,1.998,43.61667,"January 28, 21",0.01998
0,2021-01-27,43.759998,43.759998,42.23,43.060001,43.060001,239800.0,239800.0,-0.7,-1.6,43.01667,"January 27, 21",-0.016
0,2021-01-26,44.110001,44.882,43.849998,44.380001,44.380001,183100.0,183100.0,0.27,0.612,44.37067,"January 26, 21",0.00612
0,2021-01-25,45.380001,45.98,43.549999,44.080002,44.080002,204100.0,204100.0,-1.3,-2.865,44.53667,"January 25, 21",-0.02865
0,2021-01-22,45.099998,46.110001,43.869999,45.080002,45.080002,272500.0,272500.0,-0.02,-0.044,45.02,"January 22, 21",-0.00044
