,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,33.169998,33.73,32.710098,33.200001,33.200001,1274088.0,1274088.0,0.03,0.09,33.21337,"February 16, 21",0.0009
0,2021-02-12,32.57,33.169998,32.34,32.93,32.93,445500.0,445500.0,0.36,1.105,32.81333,"February 12, 21",0.01105
0,2021-02-11,31.66,32.799999,31.66,32.669998,32.669998,983600.0,983600.0,1.01,3.19,32.37667,"February 11, 21",0.0319
0,2021-02-10,32.41,32.48,31.549999,31.790001,31.790001,510600.0,510600.0,-0.62,-1.913,31.94,"February 10, 21",-0.01913
0,2021-02-09,32.23,32.48,31.809999,31.870001,31.870001,455200.0,455200.0,-0.36,-1.117,32.05333,"February 09, 21",-0.01117
0,2021-02-08,31.66,32.240002,31.6,32.18,32.18,481900.0,481900.0,0.52,1.642,32.00667,"February 08, 21",0.01642
0,2021-02-05,31.200001,31.65,30.700001,31.33,31.33,479700.0,479700.0,0.13,0.417,31.22667,"February 05, 21",0.00417
0,2021-02-04,30.52,31.23,30.450001,31.200001,31.200001,474900.0,474900.0,0.68,2.228,30.96,"February 04, 21",0.02228
0,2021-02-03,31.040001,31.120001,30.09,30.440001,30.440001,518100.0,518100.0,-0.6,-1.933,30.55,"February 03, 21",-0.01933
0,2021-02-02,30.9,31.049999,30.27,30.75,30.75,483500.0,483500.0,-0.15,-0.485,30.69,"February 02, 21",-0.00485
0,2021-02-01,28.719999,30.73,28.6,30.65,30.65,1120100.0,1120100.0,1.93,6.72,29.99333,"February 01, 21",0.0672
0,2021-01-29,28.290001,28.889999,27.700001,27.969999,27.969999,678100.0,678100.0,-0.32,-1.131,28.18667,"January 29, 21",-0.01131
0,2021-01-28,29.07,29.07,28.33,28.440001,28.440001,835100.0,835100.0,-0.63,-2.167,28.61333,"January 28, 21",-0.02167
0,2021-01-27,29.459999,29.68,28.200001,28.450001,28.450001,629600.0,629600.0,-1.01,-3.428,28.77667,"January 27, 21",-0.03428
0,2021-01-26,30.27,30.360001,29.65,29.799999,29.799999,520300.0,520300.0,-0.47,-1.553,29.93667,"January 26, 21",-0.01553
0,2021-01-25,30.309999,30.639999,29.450001,29.959999,29.959999,637600.0,637600.0,-0.35,-1.155,30.01667,"January 25, 21",-0.01155
0,2021-01-22,30.24,30.870001,30.120001,30.23,30.23,374900.0,374900.0,-0.01,-0.033,30.40667,"January 22, 21",-0.00033
0,2021-01-21,30.73,30.85,30.209999,30.49,30.49,447600.0,447600.0,-0.24,-0.781,30.51667,"January 21, 21",-0.00781
0,2021-01-20,30.299999,30.799999,29.85,30.1,30.1,751200.0,751200.0,-0.2,-0.66,30.25,"January 20, 21",-0.0066
0,2021-01-19,29.18,29.93,28.82,29.700001,29.700001,1139400.0,1139400.0,0.52,1.782,29.48333,"January 19, 21",0.01782
0,2021-01-15,28.9,28.9,28.24,28.450001,28.450001,307000.0,307000.0,-0.45,-1.557,28.53,"January 15, 21",-0.01557
0,2021-01-14,27.91,29.860001,27.91,29.08,29.08,891500.0,891500.0,1.17,4.192,28.95,"January 14, 21",0.04192
0,2021-01-13,28.889999,29.08,28.1,28.25,28.25,837100.0,837100.0,-0.64,-2.215,28.47667,"January 13, 21",-0.02215
0,2021-01-12,28.709999,28.73,27.690001,28.049999,28.049999,761900.0,761900.0,-0.66,-2.299,28.15667,"January 12, 21",-0.02299
0,2021-01-11,27.549999,28.4,27.48,28.32,28.32,637900.0,637900.0,0.77,2.795,28.06667,"January 11, 21",0.02795
0,2021-01-08,28.75,28.799999,27.440001,27.620001,27.620001,494500.0,494500.0,-1.13,-3.93,27.95333,"January 08, 21",-0.0393
0,2021-01-07,26.92,28.639999,26.860001,28.530001,28.530001,1107900.0,1107900.0,1.61,5.981,28.01,"January 07, 21",0.05981
0,2021-01-06,26.42,27.120001,26.360001,26.41,26.41,712700.0,712700.0,-0.01,-0.038,26.63,"January 06, 21",-0.00038
0,2021-01-05,25.76,26.790001,25.76,26.74,26.74,628200.0,628200.0,0.98,3.804,26.43,"January 05, 21",0.03804
0,2021-01-04,25.690001,26.629999,25.690001,26.0,26.0,790900.0,790900.0,0.31,1.207,26.10667,"January 04, 21",0.01207
0,2020-12-31,25.9,26.0,25.68,25.82,25.82,128000.0,128000.0,-0.08,-0.309,25.83333,"December 31, 20",-0.00309
0,2020-12-30,25.41,26.219999,25.360001,25.959999,25.959999,311400.0,311400.0,0.55,2.165,25.84667,"December 30, 20",0.02165
0,2020-12-29,26.51,26.540001,25.18,25.219999,25.219999,407600.0,407600.0,-1.29,-4.866,25.64667,"December 29, 20",-0.04866
0,2020-12-28,25.870001,26.610001,25.629999,26.32,26.32,1310300.0,1310300.0,0.45,1.739,26.18667,"December 28, 20",0.01739
0,2020-12-24,25.299999,25.6,25.129999,25.379999,25.379999,298200.0,298200.0,0.08,0.316,25.37,"December 24, 20",0.00316
0,2020-12-23,24.459999,25.15,24.25,24.969999,24.969999,395600.0,395600.0,0.51,2.085,24.79,"December 23, 20",0.02085
0,2020-12-22,24.67,24.83,24.43,24.459999,24.459999,332000.0,332000.0,-0.21,-0.851,24.57333,"December 22, 20",-0.00851
0,2020-12-21,24.91,24.950001,24.280001,24.639999,24.639999,485800.0,485800.0,-0.27,-1.084,24.62333,"December 21, 20",-0.01084
0,2020-12-18,25.1,25.4,25.0,25.34,25.34,405700.0,405700.0,0.24,0.956,25.24667,"December 18, 20",0.00956
0,2020-12-17,25.379999,25.4,24.889999,25.18,25.18,426200.0,426200.0,-0.2,-0.788,25.15667,"December 17, 20",-0.00788
0,2020-12-16,25.719999,25.719999,25.01,25.219999,25.219999,408300.0,408300.0,-0.5,-1.944,25.31667,"December 16, 20",-0.01944
0,2020-12-15,25.719999,25.879999,25.450001,25.620001,25.620001,546400.0,546400.0,-0.1,-0.389,25.65,"December 15, 20",-0.00389
0,2020-12-14,25.66,25.77,25.41,25.440001,25.440001,290600.0,290600.0,-0.22,-0.857,25.54,"December 14, 20",-0.00857
0,2020-12-11,25.709999,25.799999,25.4,25.49,25.49,266200.0,266200.0,-0.22,-0.856,25.56333,"December 11, 20",-0.00856
0,2020-12-10,25.709999,26.139999,25.559999,25.940001,25.940001,254400.0,254400.0,0.23,0.895,25.88,"December 10, 20",0.00895
0,2020-12-09,26.690001,26.790001,25.610001,25.83,25.83,594600.0,594600.0,-0.86,-3.222,26.07667,"December 09, 20",-0.03222
0,2020-12-08,27.049999,27.049999,26.4,26.76,26.76,429500.0,429500.0,-0.29,-1.072,26.73667,"December 08, 20",-0.01072
0,2020-12-07,26.59,27.280001,26.5,26.950001,26.950001,813000.0,813000.0,0.36,1.354,26.91,"December 07, 20",0.01354
0,2020-12-04,25.790001,26.790001,25.57,26.719999,26.719999,862100.0,862100.0,0.93,3.606,26.36,"December 04, 20",0.03606
0,2020-12-03,25.809999,26.139999,25.51,25.67,25.67,763400.0,763400.0,-0.14,-0.542,25.77333,"December 03, 20",-0.00542
0,2020-12-02,25.65,25.959999,25.110001,25.66,25.66,743100.0,743100.0,0.01,0.039,25.57667,"December 02, 20",0.00039
0,2020-12-01,24.389999,25.889999,24.26,25.76,25.76,1220500.0,1220500.0,1.37,5.617,25.30333,"December 01, 20",0.05617
0,2020-11-30,24.629999,24.700001,24.23,24.459999,24.459999,554100.0,554100.0,-0.17,-0.69,24.46333,"November 30, 20",-0.0069
0,2020-11-27,24.360001,24.82,24.23,24.43,24.43,297800.0,297800.0,0.07,0.287,24.49333,"November 27, 20",0.00287
0,2020-11-25,24.370001,24.549999,23.91,24.120001,24.120001,357700.0,357700.0,-0.25,-1.026,24.19333,"November 25, 20",-0.01026
0,2020-11-24,24.360001,24.73,24.02,24.67,24.67,429500.0,429500.0,0.31,1.273,24.47333,"November 24, 20",0.01273
0,2020-11-23,23.73,24.34,23.6,24.33,24.33,431400.0,431400.0,0.6,2.528,24.09,"November 23, 20",0.02528
0,2020-11-20,23.450001,23.66,23.129999,23.530001,23.530001,296800.0,296800.0,0.08,0.341,23.44,"November 20, 20",0.00341
0,2020-11-19,23.1,23.530001,23.059999,23.51,23.51,351900.0,351900.0,0.41,1.775,23.36667,"November 19, 20",0.01775
0,2020-11-18,23.67,23.84,23.17,23.200001,23.200001,339900.0,339900.0,-0.47,-1.986,23.40333,"November 18, 20",-0.01986
0,2020-11-17,23.719999,23.799999,23.35,23.620001,23.620001,189100.0,189100.0,-0.1,-0.422,23.59,"November 17, 20",-0.00422
0,2020-11-16,23.5,23.969999,23.26,23.940001,23.940001,718000.0,718000.0,0.44,1.872,23.72333,"November 16, 20",0.01872
0,2020-11-13,22.91,23.389999,22.639999,22.99,22.99,698100.0,698100.0,0.08,0.349,23.00667,"November 13, 20",0.00349
0,2020-11-12,22.889999,23.200001,21.74,22.59,22.59,1621900.0,1621900.0,-0.3,-1.311,22.51,"November 12, 20",-0.01311
0,2020-11-11,22.68,23.280001,22.59,23.07,23.07,552000.0,552000.0,0.39,1.72,22.98,"November 11, 20",0.0172
0,2020-11-10,22.58,22.889999,22.23,22.370001,22.370001,557900.0,557900.0,-0.21,-0.93,22.49667,"November 10, 20",-0.0093
0,2020-11-09,23.5,23.84,22.83,22.860001,22.860001,942000.0,942000.0,-0.64,-2.723,23.17667,"November 09, 20",-0.02723
0,2020-11-06,22.23,22.5,21.98,22.280001,22.280001,870300.0,870300.0,0.05,0.225,22.25333,"November 06, 20",0.00225
0,2020-11-05,22.530001,22.98,22.200001,22.23,22.23,929100.0,929100.0,-0.3,-1.332,22.47,"November 05, 20",-0.01332
0,2020-11-04,22.110001,22.540001,21.84,22.049999,22.049999,858400.0,858400.0,-0.06,-0.271,22.14333,"November 04, 20",-0.00271
0,2020-11-03,21.27,21.76,21.27,21.67,21.67,292300.0,292300.0,0.4,1.881,21.56667,"November 03, 20",0.01881
0,2020-11-02,21.23,21.33,20.690001,21.07,21.07,341600.0,341600.0,-0.16,-0.754,21.03,"November 02, 20",-0.00754
0,2020-10-30,20.99,21.219999,20.4,21.1,21.1,556300.0,556300.0,0.11,0.524,20.90667,"October 30, 20",0.00524
0,2020-10-29,20.35,21.27,20.35,21.15,21.15,415100.0,415100.0,0.8,3.931,20.92333,"October 29, 20",0.03931
0,2020-10-28,20.969999,21.24,20.370001,20.41,20.41,765500.0,765500.0,-0.56,-2.67,20.67333,"October 28, 20",-0.0267
0,2020-10-27,20.6,21.389999,20.6,21.34,21.34,654300.0,654300.0,0.74,3.592,21.11,"October 27, 20",0.03592
0,2020-10-26,19.709999,20.950001,19.25,20.879999,20.879999,801100.0,801100.0,1.17,5.936,20.36,"October 26, 20",0.05936
0,2020-10-23,19.799999,20.15,19.74,19.959999,19.959999,113900.0,113900.0,0.16,0.808,19.95,"October 23, 20",0.00808
