,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,37.209999,37.470001,36.09,36.889999,36.889999,185499.0,185499.0,-0.32,-0.86,36.81667,"February 16, 21",-0.0086
0,2021-02-12,39.5,39.639999,36.799999,36.799999,36.799999,223600.0,223600.0,-2.7,-6.835,37.74667,"February 12, 21",-0.06835
0,2021-02-11,39.73,40.029999,38.700001,39.709999,39.709999,137500.0,137500.0,-0.02,-0.05,39.48,"February 11, 21",-0.0005
0,2021-02-10,40.200001,40.98,39.349998,40.0,40.0,113400.0,113400.0,-0.2,-0.498,40.11,"February 10, 21",-0.00498
0,2021-02-09,40.52,40.630001,39.040001,39.849998,39.849998,148400.0,148400.0,-0.67,-1.654,39.84,"February 09, 21",-0.01654
0,2021-02-08,39.599998,40.450001,38.970001,40.41,40.41,169100.0,169100.0,0.81,2.045,39.94333,"February 08, 21",0.02045
0,2021-02-05,39.209999,40.27,38.709999,39.09,39.09,219000.0,219000.0,-0.12,-0.306,39.35667,"February 05, 21",-0.00306
0,2021-02-04,36.0,38.75,35.580002,38.720001,38.720001,247200.0,247200.0,2.72,7.556,37.68333,"February 04, 21",0.07556
0,2021-02-03,34.98,36.419998,34.939999,36.34,36.34,222100.0,222100.0,1.36,3.888,35.9,"February 03, 21",0.03888
0,2021-02-02,35.41,35.41,34.200001,34.950001,34.950001,277000.0,277000.0,-0.46,-1.299,34.85333,"February 02, 21",-0.01299
0,2021-02-01,35.130001,35.709999,34.57,34.740002,34.740002,258300.0,258300.0,-0.39,-1.11,35.00667,"February 01, 21",-0.0111
0,2021-01-29,36.02,36.099998,34.09,34.5,34.5,170600.0,170600.0,-1.52,-4.22,34.89667,"January 29, 21",-0.0422
0,2021-01-28,36.91,37.400002,35.860001,36.119999,36.119999,203500.0,203500.0,-0.79,-2.14,36.46,"January 28, 21",-0.0214
0,2021-01-27,37.759998,38.330002,35.610001,36.23,36.23,242000.0,242000.0,-1.53,-4.052,36.72333,"January 27, 21",-0.04052
0,2021-01-26,38.880001,38.950001,37.75,38.610001,38.610001,187000.0,187000.0,-0.27,-0.694,38.43667,"January 26, 21",-0.00694
0,2021-01-25,38.880001,39.369999,38.009998,38.57,38.57,385400.0,385400.0,-0.31,-0.797,38.65,"January 25, 21",-0.00797
0,2021-01-22,36.380001,39.139999,36.380001,39.080002,39.080002,190800.0,190800.0,2.7,7.422,38.2,"January 22, 21",0.07422
0,2021-01-21,37.110001,37.189999,36.16,37.0,37.0,87800.0,87800.0,-0.11,-0.296,36.78333,"January 21, 21",-0.00296
0,2021-01-20,36.5,37.82,36.27,37.119999,37.119999,136200.0,136200.0,0.62,1.699,37.07,"January 20, 21",0.01699
0,2021-01-19,37.599998,37.599998,36.290001,36.68,36.68,73100.0,73100.0,-0.92,-2.447,36.85667,"January 19, 21",-0.02447
0,2021-01-15,37.650002,38.720001,36.790001,37.150002,37.150002,103500.0,103500.0,-0.5,-1.328,37.55333,"January 15, 21",-0.01328
0,2021-01-14,37.459999,38.889999,37.369999,38.380001,38.380001,98300.0,98300.0,0.92,2.456,38.21333,"January 14, 21",0.02456
0,2021-01-13,37.23,37.389999,36.41,37.200001,37.200001,122100.0,122100.0,-0.03,-0.081,37.0,"January 13, 21",-0.00081
0,2021-01-12,35.25,37.259998,35.23,37.200001,37.200001,105700.0,105700.0,1.95,5.532,36.56333,"January 12, 21",0.05532
0,2021-01-11,34.529999,35.27,34.049999,35.25,35.25,97400.0,97400.0,0.72,2.085,34.85667,"January 11, 21",0.02085
0,2021-01-08,36.07,36.419998,34.77,35.240002,35.240002,75600.0,75600.0,-0.83,-2.301,35.47667,"January 08, 21",-0.02301
0,2021-01-07,35.580002,36.279999,34.889999,35.810001,35.810001,129600.0,129600.0,0.23,0.646,35.66,"January 07, 21",0.00646
0,2021-01-06,35.860001,36.279999,35.080002,35.290001,35.290001,225700.0,225700.0,-0.57,-1.59,35.55,"January 06, 21",-0.0159
0,2021-01-05,34.43,35.529999,34.43,34.939999,34.939999,99000.0,99000.0,0.51,1.481,34.96667,"January 05, 21",0.01481
0,2021-01-04,36.540001,36.540001,33.93,34.169998,34.169998,195200.0,195200.0,-2.37,-6.486,34.88,"January 04, 21",-0.06486
0,2020-12-31,35.43,36.830002,35.07,36.169998,36.169998,113300.0,113300.0,0.74,2.089,36.02333,"December 31, 20",0.02089
0,2020-12-30,35.740002,36.02,34.66,35.439999,35.439999,127000.0,127000.0,-0.3,-0.839,35.37333,"December 30, 20",-0.00839
0,2020-12-29,35.869999,35.869999,34.75,35.360001,35.360001,118400.0,118400.0,-0.51,-1.422,35.32667,"December 29, 20",-0.01422
0,2020-12-28,35.130001,36.049999,35.02,35.450001,35.450001,103600.0,103600.0,0.32,0.911,35.50667,"December 28, 20",0.00911
0,2020-12-24,34.310001,35.240002,34.009998,35.07,35.07,67000.0,67000.0,0.76,2.215,34.77333,"December 24, 20",0.02215
0,2020-12-23,32.84,34.209999,32.360001,34.060001,34.060001,90500.0,90500.0,1.22,3.715,33.54333,"December 23, 20",0.03715
0,2020-12-22,32.380001,32.66,31.73,32.349998,32.349998,92900.0,92900.0,-0.03,-0.093,32.24667,"December 22, 20",-0.00093
0,2020-12-21,32.150002,32.450001,31.35,32.209999,32.209999,152400.0,152400.0,0.06,0.187,32.00333,"December 21, 20",0.00187
0,2020-12-18,33.610001,34.360001,32.849998,33.0,33.0,310600.0,310600.0,-0.61,-1.815,33.40333,"December 18, 20",-0.01815
0,2020-12-17,33.41,34.23,32.799999,33.82,33.82,240500.0,240500.0,0.41,1.227,33.61667,"December 17, 20",0.01227
