,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-15,92.099998,93.25,90.099998,90.800003,90.800003,59521.0,59521.0,-1.29999,-1.411,91.38333,"February 15, 21",-0.01411
0,2021-02-12,92.0,93.150002,90.650002,92.599998,92.599998,136248.0,136248.0,0.6,0.652,92.13333,"February 12, 21",0.00652
0,2021-02-11,88.75,93.199997,88.449997,92.75,92.75,237704.0,237704.0,4.0,4.507,91.46666,"February 11, 21",0.04507
0,2021-02-10,92.0,92.949997,88.0,88.949997,88.949997,198124.0,198124.0,-3.05,-3.315,89.96666,"February 10, 21",-0.03315
0,2021-02-09,93.550003,93.599998,90.599998,91.5,91.5,149336.0,149336.0,-2.05,-2.191,91.9,"February 09, 21",-0.02191
0,2021-02-08,93.800003,95.949997,92.150002,93.5,93.5,279470.0,279470.0,-0.3,-0.32,93.86667,"February 08, 21",-0.0032
0,2021-02-05,92.900002,93.800003,90.099998,92.849998,92.849998,244270.0,244270.0,-0.05,-0.054,92.25,"February 05, 21",-0.00054
0,2021-02-04,89.650002,93.599998,87.300003,91.599998,91.599998,557894.0,557894.0,1.95,2.175,90.83333,"February 04, 21",0.02175
0,2021-02-03,87.449997,90.5,85.5,89.0,89.0,321050.0,321050.0,1.55,1.772,88.33333,"February 03, 21",0.01772
0,2021-02-02,81.599998,88.0,80.5,87.099998,87.099998,504629.0,504629.0,5.5,6.74,85.2,"February 02, 21",0.0674
0,2021-02-01,76.0,81.449997,76.0,80.0,80.0,165554.0,165554.0,4.0,5.263,79.15,"February 01, 21",0.05263
0,2021-01-29,78.300003,79.5,74.75,76.699997,76.699997,137590.0,137590.0,-1.60001,-2.043,76.98333,"January 29, 21",-0.02043
0,2021-01-28,80.349998,80.349998,76.25,77.650002,77.650002,185719.0,185719.0,-2.7,-3.36,78.08333,"January 28, 21",-0.0336
0,2021-01-27,77.050003,81.0,77.050003,80.349998,80.349998,56847.0,56847.0,3.29999,4.283,79.46667,"January 27, 21",0.04283
0,2021-01-25,81.699997,81.699997,78.0,78.800003,78.800003,48786.0,48786.0,-2.89999,-3.55,79.5,"January 25, 21",-0.0355
0,2021-01-22,81.800003,82.900002,78.0,79.599998,79.599998,90624.0,90624.0,-2.20001,-2.689,80.16667,"January 22, 21",-0.02689
0,2021-01-21,82.650002,83.0,81.800003,81.949997,81.949997,87097.0,87097.0,-0.70001,-0.847,82.25,"January 21, 21",-0.00847
0,2021-01-20,81.300003,82.650002,81.300003,82.25,82.25,37442.0,37442.0,0.95,1.169,82.06667,"January 20, 21",0.01169
0,2021-01-19,81.5,82.949997,81.050003,82.150002,82.150002,46223.0,46223.0,0.65,0.798,82.05,"January 19, 21",0.00798
0,2021-01-18,81.199997,82.5,77.099998,81.550003,81.550003,140177.0,140177.0,0.35001,0.431,80.38333,"January 18, 21",0.00431
0,2021-01-15,83.0,83.0,81.300003,81.75,81.75,75317.0,75317.0,-1.25,-1.506,82.01667,"January 15, 21",-0.01506
0,2021-01-14,83.0,83.75,81.650002,82.699997,82.699997,107759.0,107759.0,-0.3,-0.361,82.7,"January 14, 21",-0.00361
0,2021-01-13,84.599998,85.949997,82.0,82.949997,82.949997,162627.0,162627.0,-1.65,-1.95,83.63333,"January 13, 21",-0.0195
0,2021-01-12,83.650002,85.449997,83.449997,83.699997,83.699997,150354.0,150354.0,0.04999,0.06,84.2,"January 12, 21",0.0006
0,2021-01-11,86.0,87.449997,83.5,84.5,84.5,118157.0,118157.0,-1.5,-1.744,85.15,"January 11, 21",-0.01744
0,2021-01-08,86.650002,87.75,86.0,86.400002,86.400002,88278.0,88278.0,-0.25,-0.289,86.71667,"January 08, 21",-0.00289
0,2021-01-07,84.900002,87.75,84.050003,85.849998,85.849998,196449.0,196449.0,0.95,1.119,85.88333,"January 07, 21",0.01119
0,2021-01-06,85.900002,86.900002,84.050003,84.5,84.5,122566.0,122566.0,-1.4,-1.63,85.15,"January 06, 21",-0.0163
0,2021-01-05,87.099998,88.0,85.900002,86.349998,86.349998,121700.0,121700.0,-0.75,-0.861,86.75,"January 05, 21",-0.00861
0,2021-01-04,89.699997,89.900002,86.800003,87.449997,87.449997,113676.0,113676.0,-2.25,-2.508,88.05,"January 04, 21",-0.02508
0,2021-01-01,87.25,90.0,86.75,88.75,88.75,94870.0,94870.0,1.5,1.719,88.5,"January 01, 21",0.01719
0,2020-12-31,85.449997,88.25,85.400002,86.5,86.5,53564.0,53564.0,1.05,1.229,86.71667,"December 31, 20",0.01229
0,2020-12-30,88.900002,88.900002,84.050003,85.449997,85.449997,156369.0,156369.0,-3.45001,-3.881,86.13333,"December 30, 20",-0.03881
0,2020-12-29,89.900002,90.349998,85.949997,87.0,87.0,107960.0,107960.0,-2.9,-3.226,87.76666,"December 29, 20",-0.03226
0,2020-12-28,85.5,90.0,85.5,88.150002,88.150002,148513.0,148513.0,2.65,3.099,87.88333,"December 28, 20",0.03099
0,2020-12-24,87.199997,88.900002,83.0,84.900002,84.900002,93199.0,93199.0,-2.29999,-2.638,85.6,"December 24, 20",-0.02638
0,2020-12-23,85.150002,88.300003,85.150002,86.650002,86.650002,86748.0,86748.0,1.5,1.762,86.7,"December 23, 20",0.01762
0,2020-12-22,83.800003,85.150002,81.300003,84.849998,84.849998,110611.0,110611.0,1.04999,1.253,83.76667,"December 22, 20",0.01253
0,2020-12-21,89.949997,89.949997,82.0,83.949997,83.949997,196024.0,196024.0,-6.0,-6.67,85.3,"December 21, 20",-0.0667
0,2020-12-18,89.300003,94.0,86.650002,89.150002,89.150002,54685.0,54685.0,-0.15,-0.168,89.93333,"December 18, 20",-0.00168
0,2020-12-17,92.5,93.300003,84.400002,88.699997,88.699997,119017.0,119017.0,-3.8,-4.108,88.8,"December 17, 20",-0.04108
0,2020-12-16,93.0,93.949997,90.0,91.099998,91.099998,124236.0,124236.0,-1.9,-2.043,91.68333,"December 16, 20",-0.02043
0,2020-12-15,94.699997,94.800003,91.5,92.800003,92.800003,116964.0,116964.0,-1.89999,-2.006,93.03334,"December 15, 20",-0.02006
0,2020-12-14,92.050003,95.449997,92.0,93.949997,93.949997,232169.0,232169.0,1.89999,2.064,93.8,"December 14, 20",0.02064
0,2020-12-11,91.800003,92.800003,91.0,91.699997,91.699997,128534.0,128534.0,-0.10001,-0.109,91.83333,"December 11, 20",-0.00109
0,2020-12-10,91.949997,91.949997,89.699997,90.599998,90.599998,151621.0,151621.0,-1.35,-1.468,90.75,"December 10, 20",-0.01468
0,2020-12-09,90.050003,92.599998,90.050003,91.349998,91.349998,94566.0,94566.0,1.29999,1.444,91.33333,"December 09, 20",0.01444
0,2020-12-08,91.949997,92.400002,89.800003,90.75,90.75,182939.0,182939.0,-1.2,-1.305,90.98334,"December 08, 20",-0.01305
0,2020-12-07,89.050003,91.800003,88.5,91.199997,91.199997,204334.0,204334.0,2.14999,2.414,90.5,"December 07, 20",0.02414
0,2020-12-04,85.150002,89.849998,85.150002,88.75,88.75,258610.0,258610.0,3.6,4.228,87.91667,"December 04, 20",0.04228
0,2020-12-03,83.550003,85.5,83.449997,85.099998,85.099998,161291.0,161291.0,1.54999,1.855,84.68333,"December 03, 20",0.01855
0,2020-12-02,82.699997,85.949997,82.699997,83.550003,83.550003,248054.0,248054.0,0.85001,1.028,84.06667,"December 02, 20",0.01028
0,2020-12-01,81.699997,83.400002,80.800003,82.699997,82.699997,113771.0,113771.0,1.0,1.224,82.3,"December 01, 20",0.01224
0,2020-11-27,81.449997,82.0,81.0,81.5,81.5,84923.0,84923.0,0.05,0.061,81.5,"November 27, 20",0.00061
0,2020-11-26,80.599998,82.050003,80.5,81.199997,81.199997,66787.0,66787.0,0.6,0.744,81.25,"November 26, 20",0.00744
0,2020-11-25,81.949997,81.949997,80.25,80.449997,80.449997,98355.0,98355.0,-1.5,-1.83,80.88333,"November 25, 20",-0.0183
0,2020-11-24,82.949997,82.949997,81.099998,81.5,81.5,117908.0,117908.0,-1.45,-1.748,81.85,"November 24, 20",-0.01748
0,2020-11-23,83.699997,83.699997,82.0,82.25,82.25,127345.0,127345.0,-1.45,-1.732,82.65,"November 23, 20",-0.01732
0,2020-11-20,81.0,82.150002,79.199997,81.449997,81.449997,203757.0,203757.0,0.45,0.556,80.93333,"November 20, 20",0.00556
