,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2021-02-16,29.280001,29.280001,29.280001,29.280001,29.280001,1076.0,1076.0,0.0,0.0,29.28,"February 16, 21",0.0
0,2021-02-15,28.709999,28.709999,28.709999,28.709999,28.709999,0.0,0.0,0.0,0.0,0.0,"February 15, 21",0.0
0,2021-02-12,28.525,28.525,28.525,28.525,28.525,0.0,0.0,0.0,0.0,0.0,"February 12, 21",0.0
0,2021-02-11,28.139999,28.139999,28.139999,28.139999,28.139999,0.0,0.0,0.0,0.0,0.0,"February 11, 21",0.0
0,2021-02-10,28.395,28.395,28.395,28.395,28.395,0.0,0.0,0.0,0.0,0.0,"February 10, 21",0.0
0,2021-02-09,28.875,28.875,28.875,28.875,28.875,0.0,0.0,0.0,0.0,0.0,"February 09, 21",0.0
0,2021-02-08,28.620001,28.709999,28.620001,28.709999,28.709999,1076.0,1076.0,0.09,0.314,28.68,"February 08, 21",0.00314
0,2021-02-05,28.709999,28.709999,28.709999,28.709999,28.709999,0.0,0.0,0.0,0.0,0.0,"February 05, 21",0.0
0,2021-02-04,27.764999,28.26,27.764999,28.26,28.26,89.0,89.0,0.495,1.783,28.095,"February 04, 21",0.01783
0,2021-02-03,25.700001,25.700001,25.700001,25.700001,25.700001,0.0,0.0,0.0,0.0,0.0,"February 03, 21",0.0
0,2021-02-02,25.700001,25.700001,25.700001,25.700001,25.700001,0.0,0.0,0.0,0.0,0.0,"February 02, 21",0.0
0,2021-02-01,25.700001,25.700001,25.700001,25.700001,25.700001,0.0,0.0,0.0,0.0,0.0,"February 01, 21",0.0
0,2021-01-29,26.75,26.75,26.084999,26.084999,26.084999,75.0,75.0,-0.665,-2.486,26.30667,"January 29, 21",-0.02486
0,2021-01-28,27.105,27.105,27.105,27.105,27.105,0.0,0.0,0.0,0.0,0.0,"January 28, 21",0.0
0,2021-01-27,27.120001,27.385,26.684999,26.684999,26.684999,254.0,254.0,-0.435,-1.604,26.91833,"January 27, 21",-0.01604
0,2021-01-26,27.42,27.42,27.42,27.42,27.42,0.0,0.0,0.0,0.0,0.0,"January 26, 21",0.0
0,2021-01-25,27.434999,27.434999,27.434999,27.434999,27.434999,0.0,0.0,0.0,0.0,0.0,"January 25, 21",0.0
0,2021-01-22,27.299999,27.299999,27.299999,27.299999,27.299999,0.0,0.0,0.0,0.0,0.0,"January 22, 21",0.0
0,2021-01-21,27.389999,27.389999,27.389999,27.389999,27.389999,0.0,0.0,0.0,0.0,0.0,"January 21, 21",0.0
0,2021-01-20,27.405001,27.405001,27.405001,27.405001,27.405001,0.0,0.0,0.0,0.0,0.0,"January 20, 21",0.0
0,2021-01-19,26.969999,26.969999,26.969999,26.969999,26.969999,0.0,0.0,0.0,0.0,0.0,"January 19, 21",0.0
0,2021-01-18,26.445,26.695,26.445,26.695,26.695,206.0,206.0,0.25,0.945,26.61167,"January 18, 21",0.00945
0,2021-01-15,26.549999,26.549999,26.549999,26.549999,26.549999,0.0,0.0,0.0,0.0,0.0,"January 15, 21",0.0
0,2021-01-14,26.85,26.85,26.85,26.85,26.85,0.0,0.0,0.0,0.0,0.0,"January 14, 21",0.0
0,2021-01-13,26.700001,26.700001,26.565001,26.565001,26.565001,40.0,40.0,-0.135,-0.506,26.61,"January 13, 21",-0.00506
0,2021-01-12,26.969999,26.969999,26.969999,26.969999,26.969999,0.0,0.0,0.0,0.0,0.0,"January 12, 21",0.0
0,2021-01-11,27.27,27.27,27.27,27.27,27.27,0.0,0.0,0.0,0.0,0.0,"January 11, 21",0.0
0,2021-01-08,27.6,27.6,27.6,27.6,27.6,0.0,0.0,0.0,0.0,0.0,"January 08, 21",0.0
0,2021-01-07,27.5,27.5,27.09,27.135,27.135,171.0,171.0,-0.365,-1.327,27.24167,"January 07, 21",-0.01327
0,2021-01-06,26.790001,27.120001,26.790001,27.120001,27.120001,7.0,7.0,0.33,1.232,27.01,"January 06, 21",0.01232
